plattform_id;plattform_name;plattform_art;gruender_betreiber;gruendungsjahr;anzahl_mitglieder;anzahl_texte_gesamt;anzahl_ke;website
I1;Fanfiktion.de;"Website/Forum; Applikation";ideaFactory Geiler, Thiessen & Uhlig GbR;2004;206000;628641;12050;https://www.fanfiktion.de/
I2;StoryApp;Applikation;brennt! GmbH;2016;>5.000;>1.000;>1.000;https://www.storyapp.de/
I4;smartstorys.at;"Website/Forum; Applikation";Smart Storys Verlag;2017;?;918;918;https://www.smartstorys.at/
I5;Wattpad;"Website/Forum; Applikation";Wattpad corp.;2006;89000000;;1500;https://www.wattpad.com/
I6;Wortkrieger;Website/Forum;Perschke, Mirko;2001;17497;40354;33730;https://www.wortkrieger.de/
I7;Inkitt;"Website/Forum; Applikation";Inkitt Inc.;2013;33000000;?;?;https://www.inkitt.com/de
I8;Royal Road;"Website/Forum; Applikation";Not Yet Media LTD;2013;705524;?;8458;https://www.royalroad.com/home
I9;Federteufel;Website/Forum;Specht, Ulrich;2013;?;105;?;https://www.federteufel.de/
I10;Leselupe.de;Website/Forum;Maracuja GmbH;1998;12972;84523;13960;https://www.leselupe.de/
I11;Blauer Salon;Website/Forum;/;2006;81;17485;?;www.blauersalon.net
I12;Deutsches Schriftstellerforum;Website/Forum;/;2006;17893;?;?;www.dsfo.de
I13;e-Stories*;Website/Forum;Schwab, Jörg;1999;11320;250000;40000;www.e-stories.de
I14;Fanstasy- und Schreibforum;Website/Forum;/;2013;881;7956;?;www.fantasy-schreibforum.com
I15;Fantasy-Geschichten-Forum.de;Website/Forum;Lehr, Jennifer;2012;574;4555;?;www.fantasy-geschichten-forum.de
I16;FantasyReich;Website/Forum;/;2011;64;947;?;fantasy-schreiben.forumieren.com
I17;fiction-writing;Website/Forum;/;2014;470;3849;?;www.fiction-writing.de
I18;keinVerlag.de;Website/Forum;Zenker, Jan M.;2002;924;135023;?;www.keinverlag.de
I19;literatur-forum.info;Website/Forum;/;2008;1013;3668;?;www.literatur-forum.info
I20;LiteraturForum;Website/Forum;Forumhelden GmbH;2006;8553;25942;?;www.literaturforum.de
I21;Musengarten;Website/Forum;Dietrich, Gabriella;2013;?;?;165;www.musengarten.com
I22;Poetry.de;Website/Forum;Hohe-Dorst, Inka Maria;1997;8226;84130;?;www.poetry.de
I23;Schreib-Forum;Website/Forum;Hunold, Konstanze;2010;107;16138;?;www.schreib-forum.de
I24;schreibpodium.de;Website/Forum;/;2010;169;4404;?;www.schreibpodium.de
I25;Scriptorium;Website/Forum;/;2012;?;?;?;scriptorium.forumieren.com
I26;Tacheles;Website/Forum;Oschinger, Wolfgang;2015;45;19248;421;tacheles.forumprofi.de
I27;WebStories;Website/Forum;Gerlinger, Stefan;2001;?;16990;5210;webstories.eu
