literaturwettbewerb_id;literaturwettbewerb_name;veranstalter;veranstaltungsort;laengenvorgabe_text;themenvorgabe;altersgrenze;jury_2023;ausrichtungszyklus;preisart;hoehe_preisgeld;publikation;live_event;erstausrichtung;website 
L1;„THEO – Berlin-Brandenburgischer Preis für Junge Literatur“;wortbau e.V.;Berlin;3 Seiten;ja;max. 20 Jahre alt;keine Info;jährlich;"Schreibworkshop; Bücherschecks; Gutscheine";;ja;ja;2008;https://www.theo-schreibwettbewerb.de/
L2;A.E. Johann-Preis – „Reisen und Schreiben“;A.E. Johann-Gesellschaft e.V.;Oerrel;keine Info;ja;12 bis 25 Jahre (Altersgruppe 1: 12 bis 15 Jahre, Altersgruppe 2: 16 bis 20 Jahre, Altersgruppe 3: 21 bis 25 Jahre);"Cieslar, Cornelia; Winter, Beate; Herzog, Gabriele; Henning, Manuela; Heitkamp, Karten";;Preisgeld;80-300€;ja;ja;2019;https://www.a-e-johann.de/der-a-e-johann-preis
L3;b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung;Geest-Verlag;/;1-5 Seiten;ja;nein;keine Info;keine Info;"Preisgeld; Buchpreise";100-250€;ja;nein;2018;https://www.geest-verlag.de/news/4-bbobs-59-literaturwettbewerb-f%C3%BCr-menschen-mit-beeintr%C3%A4chtigung
L4;CARE-Schreibwettbewerb;CARE Deutschland e.V;Bonn;0-1000 Zeichen;ja;"Altersgruppe 1: 14 bis 18 Jahre; Altersgruppe 2: 19 bis 25 Jahre";prominente Jury, bestehend aus Vertreter:innen aus Kunst, Medien und Kultur sowie einer ehemaligen Gewinner:in, weitergeleitet;keine Info;Publikation;/;ja;ja;2013;https://www.care.de/schwerpunkte/bildung-und-zivilgesellschaft/projekte-in-deutschland/schreibwettbewerb/
L5;Deutscher Kurzgeschichtenwettbewerb;brennt! GmbH;München;11.000-13.000;ja;nein;wechselnd;jährlich;Preisgeld;500-2000€;ja;ja;2000;https://www.zuendeln.de/
L6;Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen;"Stadt Erfurt; Erfurter Herbstlese e.V.";Erfurt;0-10000 Zeichen;nein;15 bis 35 Jahre;"Annel, Ingrid; Engelmann, Anke; Müller-Ferchland, René; Jauch, Karsten; Beier, Frances Theres; Rettig, Monika";jährlich;Preisgeld;100-300€;keine Info;ja;2001;https://www.herbstlese.de/news/eobanus-hessus-schreibwettbewerb-2024
L7;Erika und Klaus Mann-Preis für junge Autor:innen;Thomas Mann-Gesellschaft Hamburg;Hamburg ;1-12 Seiten;ja;16 bis 25 Jahre;Die Preisjury setzt sich aus Autoren, Literaturwissenschaftlern und Literaturwissenschaftlerinnen sowie engagierten Leserinnen und Lesern zusammen. ;jährlich;"Preisgeld; Publikation";1000-2000€;ja;ja;2022;https://www.thomasmann-hamburg.de/ausschreibung-nachwuchspreis/
L8;Friedrich-Glauser-Autorenpreis für Kurzkrimis;DAS SYNDIKAT – Autorengruppe deutschsprachige Kriminalliteratur A.I.E.P.;;0-36000;ja;nein;"Schmidt, Ellen; weitere";jährlich;Preisgeld;1.000 €;keine Info;ja;2002;https://www.das-syndikat.com/glauser-preise.html
L9;Förderpreise des Jungen Literaturforums Hessen-Thüringen;Junges Literaturforum Hessen-Thüringen;;0-1.300 Wörter;nein;16 bis 25 Jahre;keine Info;jährlich;"Preisgeld; Workshop; Publikation";10x 800€;ja;ja (radio);1984;https://www.junges-literaturforum.de/wettbewerb/
L10;Grassauer Deichelbohrer Kurzgeschichtenwettbewerb;Kulturleben Marktgemeinde Grassau;Grassau;6000-9000;ja;nein;keine Info;alle zwei Jahre;Preisgeld;300-1000€;keine Info;ja;2019;https://www.grassau.de/ausschreibung
